title,link,published,source,pub_date
Paternal SARS-CoV-2 infection impacts sperm small noncoding RNAs and increases anxiety in offspring in a sex-dependent manner,https://www.nature.com/articles/s41467-025-64473-0,2025-10-11 00:00:00 UTC,Nature Communications,2025-10-11 00:00:00+00:00
"AI-enhanced flexible ECG patch for accurate heart disease diagnosis, optimal wear positioning, and interactive medical consultation",https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf425/8281980?rss=1,2025-10-11 00:00:00 UTC,National Science Review Advance Access,2025-10-11 00:00:00+00:00
Mild and metal-free chemical recycling of polyureas via acylation-activated bond cleavage,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf430/8281975?rss=1,2025-10-11 00:00:00 UTC,National Science Review Advance Access,2025-10-11 00:00:00+00:00
A new horizon in hydrovoltaics,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf371/8281967?rss=1,2025-10-11 00:00:00 UTC,National Science Review Advance Access,2025-10-11 00:00:00+00:00
Idea of biomineralization-inspired fabrication for ceramics at room or low temperature,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf428/8281965?rss=1,2025-10-11 00:00:00 UTC,National Science Review Advance Access,2025-10-11 00:00:00+00:00
Choline Ionic Liquid for Long‐Term Stable Organic Electrochemical Transistors,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202512163?af=R,2025-10-11 03:36:28 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:36:28+00:00
The Efficient and Stable Triboelectric Nanogenerator Materials Based on Electrostatic Attraction Between Biomass and Metal Oxides for UAV Flight Control,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202515462?af=R,2025-10-11 03:37:40 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:37:40+00:00
Wafer‐Scale Synthesis of V2O5 Single Crystals for Ultrahigh Doping of 2D Materials,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202515674?af=R,2025-10-11 03:38:32 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:38:32+00:00
Cation‐Mediated Low‐Frequency Phonon Suppression in Lead‐free Manganese Halides for High‐efficiency Green Light‐emitting Diodes,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202510599?af=R,2025-10-11 03:39:08 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:39:08+00:00
Phosphine Interlayer Chemical Hardness Engineering via Crystallization Regulation for Wide‐Bandgap Perovskites and All‐Perovskite Tandems,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202515163?af=R,2025-10-11 03:40:12 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:40:12+00:00
"Unveiling the Electrolyte and Solid Electrolyte Interphase in Sodium Ion Batteries: Mechanisms, Progress, and Perspectives",https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202510882?af=R,2025-10-11 03:41:35 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:41:35+00:00
Dual Targeting of m7G tRNA Modification and Histone Acetylation using Carrier‐Free Nano‐Epidrugs to Evoke Osteosarcoma Chemosensitization,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202505951?af=R,2025-10-11 03:42:46 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:42:46+00:00
Synergistic Molecular Engineering of Crosslinked Polymer Dielectrics for High‐Temperature Capacitive Energy Storage,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202513483?af=R,2025-10-11 03:42:48 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:42:48+00:00
Self‐Layered Triboelectric Nanogenerator for Ultrahigh Electricity Supply,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202514186?af=R,2025-10-11 03:48:09 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-11 03:48:09+00:00
