title,link,published,source,pub_date
Hundreds of dead fish in river linked to heatwave,https://www.bbc.co.uk/news/articles/ckgd4d3280yo?at_medium=RSS&at_campaign=rss,2026-08-02 04:50:40 UTC,BBC News,2026-08-02 04:50:40+00:00
Injured peregrine reunion 'brought tears to eyes',https://www.bbc.co.uk/news/articles/cx257jdxw9yo?at_medium=RSS&at_campaign=rss,2026-08-02 05:58:41 UTC,BBC News,2026-08-02 05:58:41+00:00
Beaver dams 'helping boost drought resilience',https://www.bbc.co.uk/news/articles/c5yr7z150d7o?at_medium=RSS&at_campaign=rss,2026-08-02 06:07:13 UTC,BBC News,2026-08-02 06:07:13+00:00
'You can't describe the loss' - the reality of bovine TB on farmers,https://www.bbc.co.uk/news/articles/c982m8p74lvo?at_medium=RSS&at_campaign=rss,2026-08-02 23:00:07 UTC,BBC News,2026-08-02 23:00:07+00:00
Plans for nuclear-powered merchant ships must confront risks,https://www.nature.com/articles/d41586-026-02388-6,2026-08-03 00:00:00 UTC,Nature,2026-08-03 00:00:00+00:00
Cancer-fighting antibodies with a one-two punch take aim at tumours,https://www.nature.com/articles/d41586-026-02398-4,2026-08-03 00:00:00 UTC,Nature,2026-08-03 00:00:00+00:00
Controversial White House plan to overhaul US science funding faces Senate opposition,https://www.nature.com/articles/d41586-026-02436-1,2026-08-03 00:00:00 UTC,Nature,2026-08-03 00:00:00+00:00
Venus’s rift valleys could be its secret to staying active,https://www.nature.com/articles/d41586-026-02372-0,2026-08-03 00:00:00 UTC,Nature,2026-08-03 00:00:00+00:00
Sickle-cell disease linked to prematurely aged stem cells in mice,https://www.nature.com/articles/d41586-026-02339-1,2026-08-03 00:00:00 UTC,Nature,2026-08-03 00:00:00+00:00
Author Correction: Maturation and circuit integration of transplanted human cortical organoids,https://www.nature.com/articles/s41586-026-10943-4,2026-08-03 00:00:00 UTC,Nature,2026-08-03 00:00:00+00:00
Gasdermin D-mediated delivery of caspase inhibitors to suppress pyroptosis,https://www.nature.com/articles/s41586-026-10957-y,2026-08-03 00:00:00 UTC,Nature,2026-08-03 00:00:00+00:00
Discovery of a covalent FGFR2-selective inhibitor overcoming clinically-acquired resistance mutations,https://www.nature.com/articles/s41467-026-76339-0,2026-08-03 00:00:00 UTC,Nature Communications,2026-08-03 00:00:00+00:00
Universal entanglement growth along imaginary time in quantum critical systems,https://www.nature.com/articles/s41467-026-75645-x,2026-08-03 00:00:00 UTC,Nature Communications,2026-08-03 00:00:00+00:00
Global vulnerability assessment of mobile telecommunications infrastructure to climate hazards using crowdsourced open data,https://www.nature.com/articles/s41467-026-76197-w,2026-08-03 00:00:00 UTC,Nature Communications,2026-08-03 00:00:00+00:00
Seismic evidence for lower-mantle heat supply beneath the Cordilleran slab window in western Canada,https://www.nature.com/articles/s41467-026-76194-z,2026-08-03 00:00:00 UTC,Nature Communications,2026-08-03 00:00:00+00:00
The secret relationships that govern life on Earth,https://www.nature.com/articles/d41586-026-02387-7,2026-08-03 00:00:00 UTC,Nature,2026-08-03 00:00:00+00:00
Author Correction: GGCX promotes Eurasian avian-like H1N1 swine influenza virus adaption to interspecies receptor binding,https://www.nature.com/articles/s41467-026-76172-5,2026-08-03 00:00:00 UTC,Nature Communications,2026-08-03 00:00:00+00:00
Science-backed tips on how to avoid distractions,https://www.nature.com/articles/d41586-026-01850-9,2026-08-03 00:00:00 UTC,Nature,2026-08-03 00:00:00+00:00
Self-assembled contacts for high-yield molecular devices,https://www.nature.com/articles/s41565-026-02227-9,2026-08-03 00:00:00 UTC,Nature Nanotechnology,2026-08-03 00:00:00+00:00
Intrinsic plasmon canalization in the biaxial van der Waals crystal MoOCl2,https://www.nature.com/articles/s41565-026-02243-9,2026-08-03 00:00:00 UTC,Nature Nanotechnology,2026-08-03 00:00:00+00:00
Molecules under controlled collapse,https://www.nature.com/articles/s41565-026-02234-w,2026-08-03 00:00:00 UTC,Nature Nanotechnology,2026-08-03 00:00:00+00:00
Want to get more from AI? Treat every prompt like an experiment,https://www.nature.com/articles/d41586-026-02083-6,2026-08-03 00:00:00 UTC,Nature,2026-08-03 00:00:00+00:00
Negatively charged cavity engineering in metal-organic clusters for efficient photocatalytic C–P coupling,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag467/8750263?rss=1,2026-08-03 00:00:00 UTC,National Science Review Advance Access,2026-08-03 00:00:00+00:00
"A climate-sensitive, contemporary multi-sphere bacterial metacommunity across the Tibetan Plateau",https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag463/8750262?rss=1,2026-08-03 00:00:00 UTC,National Science Review Advance Access,2026-08-03 00:00:00+00:00
Electronically neighbored redox active sites on polymeric carbon nitride for efficient photocatalysis pairing selective CO2 reduction and 5-hydroxymethylfurfural oxidation,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag470/8750257?rss=1,2026-08-03 00:00:00 UTC,National Science Review Advance Access,2026-08-03 00:00:00+00:00
Breaking the blue spectral barrier of non-conjugated hydrocarbons,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag469/8750243?rss=1,2026-08-03 00:00:00 UTC,National Science Review Advance Access,2026-08-03 00:00:00+00:00
Retraction Note: An autocatalytic multicomponent DNAzyme nanomachine for tumor-specific photothermal therapy sensitization in pancreatic cancer,https://www.nature.com/articles/s41467-026-75939-0,2026-08-03 00:00:00 UTC,Nature Communications,2026-08-03 00:00:00+00:00
‘A waste of time for all of us’: caught in the crossfire of the peer-review wars,https://www.nature.com/articles/d41586-026-01360-8,2026-08-03 00:00:00 UTC,Nature,2026-08-03 00:00:00+00:00
Jordan Green Ammonia: fertilizer and export opportunities from the Middle East,https://ammoniaenergy.org/articles/jordan-green-ammonia-fertilizer-and-export-opportunities-from-the-middle-east/,2026-08-03 02:22:58 UTC,Articles – Ammonia Energy Association,2026-08-03 02:22:58+00:00
Volunteers clear brook to reduce flood risk,https://www.bbc.co.uk/news/articles/c4gwr53qrw7o?at_medium=RSS&at_campaign=rss,2026-08-03 05:09:06 UTC,BBC News,2026-08-03 05:09:06+00:00
