title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Depletion of davemaoite in Earth’s ambient lower mantle,https://www.nature.com/articles/s41467-026-76943-0,Nature Communications,2026-08-15 00:00:00 UTC,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76943-0,Nicolas Guignot,"The mineralogy of the Earth’s lower mantle is fundamental to understanding the planet’s formation, composition, evolution, and dynamics. However, uncertainties in the elastic properties and phase transitions of CaSiO₃ davemaoite—the third most abundant phase in a pyrolitic lower mantle—have hindered quantitative links between seismic observations and lower-mantle mineralogy. Here we combine Brillouin spectroscopy with resistively heated diamond anvil cell experiments to measure the sound velocities of CaSiO₃ davemaoite up to 80 GPa and 973 K. We show that the tetragonal–cubic phase transition occurs below 900 K throughout the entire lower mantle. Fitting the thermoelastic properties of cubic davemaoite reveals substantially reduced shear-wave velocities at deep lower-mantle conditions. Because of these intrinsically slow velocities, increasing bridgmanite abundance alone cannot reconcile seismic observations for a normal lower mantle containing even small amount of davemaoite. Our results therefore suggest that davemaoite is depleted in the ambient lower mantle but concentrated within LLSVPs, likely as a consequence of late-stage crystallization during magma-ocean differentiation.",nature_html,0
Atmospheric turbulence sensing with structured terahertz beams containing orbital angular momentum,https://www.nature.com/articles/s41467-026-76743-6,Nature Communications,2026-08-15 00:00:00 UTC,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76743-6,Yasaman Ghasempour,"Clear-air turbulence poses a persistent hazard to aviation, yet it evades conventional weather radar and remains difficult to detect. Existing optical sensing methods falter under severe turbulence and are extremely vulnerable to misalignment between airborne nodes. Here we introduce an atmospheric sensing scheme built on structured terahertz (THz) beams carrying orbital angular momentum (OAM). We derive and experimentally validate an analytical model that maps turbulence-induced OAM modal crosstalk to the refractive index structure constant of the atmosphere. Our simulations and experiments demonstrate that this THz-OAM approach remains robust under severe turbulence where optical systems saturate, and offers orders-of-magnitude greater misalignment resilience. Furthermore, this scheme also enables localization of the dominant turbulent clusters through understanding the interaction of diverging THz-OAM beams with the turbulent medium in the reciprocal propagation paths and simultaneously monitoring water vapor to identify turbulence precursors. This work establishes structured THz-OAM beams as a robust framework for remote atmospheric turbulence inference.",nature_html,0
Quantifying the role of nitrogen in achieving global Sustainable Development Goals,https://www.nature.com/articles/s41467-026-76777-w,Nature Communications,2026-08-15 00:00:00 UTC,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76777-w,Baojing Gu,"Achieving the 2030 Sustainable Development Goals (SDGs) requires balancing well-being with environmental protection, yet the role of nitrogen across these goals remains poorly understood. Here, we show how dietary nitrogen intake and nitrogen release to air and water are associated with SDG progress across 166 countries from 2000 to 2022. Higher per-capita nitrogen intake is positively associated with social and economic SDGs, whereas nitrogen release is negatively associated with environmental goals. Economic development is linked to improved SDG performance but also to greater dietary nitrogen demand and nitrogen losses, while warming is associated with pressure on food systems and nitrogen management. Nitrogen-related factors account for 38% of the variation in SDG scores, compared with 34% for climatic conditions and 28% for socio-economic factors. These findings identify nitrogen management as a cross-cutting component of sustainable development and support strategies that align food security, pollution control and climate adaptation across development contexts.",nature_html,0
Focal mechanism variations reveal mechanical controls on segmentation at oceanic transform faults,https://www.nature.com/articles/s41467-026-76407-5,Nature Communications,2026-08-15 00:00:00 UTC,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76407-5,Jeffrey J. McGuire,"Oceanic transform faults (OTFs) exhibit concurrent slip behaviors, with creep and characteristic earthquakes on localized patches. At the Gofar transform fault on the East Pacific Rise, magnitude 5.5+ earthquakes are bounded by creeping segments that act as persistent rupture barriers, yet the physical controls on this segmentation remain unclear. Here, from one year of ocean bottom seismometer data, we develop a focal mechanism catalog of 2323 earthquakes on the westernmost Gofar transform fault. This catalog enables robust statistical analyses of along-strike variations in faulting type and mechanical properties. Pure strike-slip earthquakes comprise ~31% of events; oblique earthquakes are pervasive; pure reverse and normal events also exist. Faulting types correlate with seismicity-inferred fault segmentation, with reverse and oblique-reverse events clustering in rupture barriers. Coulomb failure modeling shows that the pattern is diagnostic of elevated pore-fluid pressure and mechanical weakness within the barriers. The 2008 M6 mainshock increased focal mechanism diversity across the fault, indicating widespread activation of secondary structures through the seismic cycle. Comparisons with the Blanco and Chain transform faults suggest diverse faulting and along-strike mechanism clustering may be common OTF features, implying that local mechanical properties govern segmentation.",nature_html,0
CD36-mediated lipid-accumulation in reactive microglia contributes to retinal degeneration via the NLRP3-IL-1β pathway in mice,https://www.nature.com/articles/s41467-026-76685-z,Nature Communications,2026-08-15 00:00:00 UTC,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76685-z,Chang He,"Microglia are central regulators of retinal immune homeostasis, yet their pathogenic states in retinal degeneration remain less well understood. Here we identified a distinct subset of lipid-accumulated reactive microglia (aLARM), using scRNA sequencing and spatial transcriptomics in NaIO3-induced retinal degeneration mice, predominantly localized to the outer retina. aLARM were conserved across mouse models and patients and uniquely marked by high CD36 expression. Microglia-specific CD36 deletion abolished aLARM-mediated inflammation and degeneration, whereas subretinal transplantation of CD36+ aLARM exacerbated retinal structural destruction and functional impairment. Mechanistically, CD36+ aLARM activated NLRP3 inflammasome and produced IL-1β, engaging IL-1R1 on microglia/macrophages and pericytes/SMCs to amplify a feed-forward inflammatory circuit. Therapeutic CD36 blockade with the neutralizing antibody FA6-152 reduced aLARM formation and protected against neurodegeneration. Together, our findings highlight CD36+ aLARM as a targetable pathogenic microglial population linking neuroinflammation to retinal degeneration, providing a potential foundation for microglia-based precision therapies.",nature_html,0
Ryugu and Bennu preserve primordial isotopic heterogeneity absent from the meteorite record,https://www.nature.com/articles/s41467-026-76720-z,Nature Communications,2026-08-15 00:00:00 UTC,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76720-z,Dante S. Lauretta,"Ivuna-type (CI) carbonaceous chondrites are commonly used as proxies for the composition of the planet-forming disk because their chemical abundances resemble those of the solar photosphere. However, their isotopic uniformity may reflect pervasive alteration and isotopic averaging rather than preservation of the earliest Solar System reservoirs. Here we show that samples returned from the asteroids Ryugu and Bennu preserve isotopic heterogeneity in major planet-building elements, including magnesium, silicon, and iron, that is absent from CI chondrites and unresolved in other meteorites. These signatures reveal isotopically distinct components that are absent from, or homogenized in, known CI chondrites. We infer that Bennu and Ryugu retain a record of primordial isotopic diversity that was not completely homogenized during disk and parent-body processing. Thus, returned asteroid samples provide access to previously unsampled Solar System material that preserves early isotopic components not fully represented in the meteorite record.",nature_html,0
Achieving Near 21% Efficiency Organic Solar Cells through Controlled Packing of Fused-Ring Electron Acceptors,https://www.nature.com/articles/s41467-026-76532-1,Nature Communications,2026-08-15 00:00:00 UTC,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76532-1,Yahui Liu,"Non-radiative energy loss remains a challenge in organic solar cells. Here we show that introducing bulky chlorobenzene moieties at the end of inner side chains yields two acceptor materials, Y6-2Cl and Y6-4Cl. The introduction of chlorobenzene groups enhances the solubility, while also boosting the photoluminescence quantum yield and inducing a distinct molecular packing mode in Y6-2Cl and Y6-4Cl. Rather than following the conventional three-dimensional network structure observed in Y-series acceptors, these materials form a highly ordered, array-like arrangement while maintaining excellent crystalline characteristics. This unique structural feature not only preserves high charge-transport properties but also optimizes aggregation behavior and morphology of the active layers. The D18:Y6-2Cl binary device demonstrates a PCE of 20.0%. The ternary device composed of D18:L8-BO:Y6-2Cl achieves a PCE of 20.92%, accompanied by a fill factor of 82.93%. Overall, the side-chain functionalization strategy proposed in this study offers a direction for developing high-performance non-fullerene acceptors.",nature_html,0
Phosphorylation of OTUB1 promotes autophagy initiation under starvation,https://www.nature.com/articles/s41467-026-76796-7,Nature Communications,2026-08-15 00:00:00 UTC,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76796-7,Jiqin Lian,"Eukaryotes initiate autophagy in response to environmental challenges such as nutrient deprivation. However, the mechanisms governing autophagy initiation remain incompletely understood. Here, we demonstrated that OTUB1 phosphorylation plays a key role in starvation-induced autophagy initiation. Specifically, ERK phosphorylates OTUB1 at S118 during starvation. This phosphorylation enables competitive binding of ANXA2 to OTUB1, disrupting its interaction with TRIM29 and enhancing OTUB1 stability. Stabilized OTUB1 upregulated DEPTOR, thereby inhibiting mTOR and inducing autophagy. Furthermore, in vivo studies reveal that fasting-induced OTUB1-mTOR-autophagy axis counteracted Western diet-mediated mTOR activation by restoring ERK-dependent OTUB1 phosphorylation, ultimately ameliorating MASLD progression. Collectively, this study uncovers a phosphorylation-dependent regulatory mechanism controlling OTUB1’s function in nutrient deficiency-triggered autophagy initiation, providing cellular and molecular evidence supporting the therapeutic potential of fasting in alleviating MASLD.",nature_html,0
Polyoxometalates‐Driven Oxidative Polymerization of Thioctic Acid and Synchronized Noncovalent Cross‐Linking to Generate High‐Strength and Colorimetric Adhesives,https://onlinelibrary.wiley.com/doi/10.1002/anie.7949913?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-08-15 06:14:21 UTC,2026-08-15 06:14:21+00:00,10.1002/anie.7949913,Wen Li,"ABSTRACT
                  Polythioctic acid (PTA) and its derivatives carrying disulfide bonds within the polymer backbone have emerged as leading candidates for yielding degradable and recyclable polymers. However, their development has been impeded by the persistent trade‐off between degradability and mechanical strength, as well as the lack of effective polymerization strategies that can be used under mild conditions. Herein, we report a polyoxometalate (POM)‐mediated “one‐stone‐three‐birds” strategy, in which rapid ring‐opening polymerization (ROP) of TA is synchronously coupled with noncovalent crosslinking under mild ambient conditions. Combined experimental and theoretical investigations reveal that POM nanoclusters act as multifunctional “stones”: oxidizing TA to generate cationic radical species that initiate ROP, engaging in strong electrostatic interactions with the sulfonium termini of the resulting PTA chains to form robust polymer networks with high adhesion strength (&gt;11 MPa), and imparting a redox‐responsive colorimetric signal. This synergistic integration of mechanical reinforcement and chromic response provides a new strategy for designing adhesives with coupled structural integrity and optical feedback, which enables in situ visual indication of material changes during leakage of oxidizing species in confined environments.",crossref,0
Reveal Non‐Uniform Passivation on Lithium Metal Anode With Operando Spectroscopic Ellipsometry,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.71434?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-08-15 14:33:37 UTC,2026-08-15 14:33:37+00:00,10.1002/aenm.71434,Feifei Shi,"ABSTRACT
                  
                    The passivity of lithium (Li) metal anode is crucial for the safety and long‐term cycling performance of Li metal batteries (LMBs), yet the mechanism and evolution of native passivation remain poorly understood. In this work, we use operando spectroscopic ellipsometry (SE) with a real‐time, spatially resolved thickness‐mapping function to study freshly prepared Li metal anodes with/without texture control. The native passivation reaction is monitored inside an Argon glovebox with precise control of O
                    2
                    , CO
                    2,
                    and H
                    2
                    O gas environment. We discovered that the nucleation and anisotropic reactivity of Li metal are the root causes for the non‐uniform distribution of the native passivation layer. The equilibrium thickness has been studied for texture effects (i.e., Li with (200) and (110) out‐of‐plane orientations) and temperature effects. The growth of the native layer is fitted by Fehlner–Mott model. We correlate the thickness of the native passivation layer with subsequent SEI evolution by analyzing electrochemical impedance spectroscopy distribution of relaxation times (EIS‐DRT) and critical current densities (CCD) in three different electrolytes. By elucidating the fundamental growth mechanisms and roles of the native passivation layer, this work reveals the origin of non‐uniform reactivities on Li metal anodes, providing a new framework for engineering stable, dendrite‐free lithium metal interfaces.",crossref,0
