title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
Future role of heavy-duty fuel cell vehicles in the decarbonization of the freight transport,https://www.sciencedirect.com/science/article/pii/S0306261926012882?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,I. Nidaguila,,,
Dual-stream time-frequency multi-task learning for weak disturbance event identification and localisation in power distribution networks,https://www.sciencedirect.com/science/article/pii/S0306261926012705?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Chandima Ekanayake,,,
Phosphorylation of OTUB1 promotes autophagy initiation under starvation,https://www.nature.com/articles/s41467-026-76796-7,,Nature Communications,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76796-7,Jiqin Lian,,"Eukaryotes initiate autophagy in response to environmental challenges such as nutrient deprivation. However, the mechanisms governing autophagy initiation remain incompletely understood. Here, we demonstrated that OTUB1 phosphorylation plays a key role in starvation-induced autophagy initiation. Specifically, ERK phosphorylates OTUB1 at S118 during starvation. This phosphorylation enables competitive binding of ANXA2 to OTUB1, disrupting its interaction with TRIM29 and enhancing OTUB1 stability. Stabilized OTUB1 upregulated DEPTOR, thereby inhibiting mTOR and inducing autophagy. Furthermore, in vivo studies reveal that fasting-induced OTUB1-mTOR-autophagy axis counteracted Western diet-mediated mTOR activation by restoring ERK-dependent OTUB1 phosphorylation, ultimately ameliorating MASLD progression. Collectively, this study uncovers a phosphorylation-dependent regulatory mechanism controlling OTUB1’s function in nutrient deficiency-triggered autophagy initiation, providing cellular and molecular evidence supporting the therapeutic potential of fasting in alleviating MASLD.",nature_html
Achieving Near 21% Efficiency Organic Solar Cells through Controlled Packing of Fused-Ring Electron Acceptors,https://www.nature.com/articles/s41467-026-76532-1,,Nature Communications,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76532-1,Yahui Liu,,"Non-radiative energy loss remains a challenge in organic solar cells. Here we show that introducing bulky chlorobenzene moieties at the end of inner side chains yields two acceptor materials, Y6-2Cl and Y6-4Cl. The introduction of chlorobenzene groups enhances the solubility, while also boosting the photoluminescence quantum yield and inducing a distinct molecular packing mode in Y6-2Cl and Y6-4Cl. Rather than following the conventional three-dimensional network structure observed in Y-series acceptors, these materials form a highly ordered, array-like arrangement while maintaining excellent crystalline characteristics. This unique structural feature not only preserves high charge-transport properties but also optimizes aggregation behavior and morphology of the active layers. The D18:Y6-2Cl binary device demonstrates a PCE of 20.0%. The ternary device composed of D18:L8-BO:Y6-2Cl achieves a PCE of 20.92%, accompanied by a fill factor of 82.93%. Overall, the side-chain functionalization strategy proposed in this study offers a direction for developing high-performance non-fullerene acceptors.",nature_html
Ryugu and Bennu preserve primordial isotopic heterogeneity absent from the meteorite record,https://www.nature.com/articles/s41467-026-76720-z,,Nature Communications,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76720-z,Dante S. Lauretta,,"Ivuna-type (CI) carbonaceous chondrites are commonly used as proxies for the composition of the planet-forming disk because their chemical abundances resemble those of the solar photosphere. However, their isotopic uniformity may reflect pervasive alteration and isotopic averaging rather than preservation of the earliest Solar System reservoirs. Here we show that samples returned from the asteroids Ryugu and Bennu preserve isotopic heterogeneity in major planet-building elements, including magnesium, silicon, and iron, that is absent from CI chondrites and unresolved in other meteorites. These signatures reveal isotopically distinct components that are absent from, or homogenized in, known CI chondrites. We infer that Bennu and Ryugu retain a record of primordial isotopic diversity that was not completely homogenized during disk and parent-body processing. Thus, returned asteroid samples provide access to previously unsampled Solar System material that preserves early isotopic components not fully represented in the meteorite record.",nature_html
AI-driven smart home appliance optimization: A systematic review,https://www.sciencedirect.com/science/article/pii/S0306261926013218?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Enver Ever,,,
"Delivering building demand flexibility for grid-interactive operation: from perception and cognition to decision, execution, and verification",https://www.sciencedirect.com/science/article/pii/S0306261926013243?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Wei Luo,,,
Recent advances in photocatalytic fragmentation and upgradation of lignin to high-value products using engineered metal sulphide photocatalysts,https://www.sciencedirect.com/science/article/pii/S030626192601175X?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Xianfeng Fan,,,
Energy storage under extreme conditions: challenges and strategies for MXene-based supercapacitors,https://www.sciencedirect.com/science/article/pii/S0306261926013334?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Jianqiao Liu,,,
Physical-economic-health coordination for hydrogen-electrified ship power systems: A triple-layer unified framework,https://www.sciencedirect.com/science/article/pii/S0306261926013280?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Pei Shen,,,
Climate-responsive roof cooling strategies for low-energy carbon-neutral buildings: A nationwide comparative assessment of radiative sky cooling and green roofs,https://www.sciencedirect.com/science/article/pii/S0306261926013516?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Wenchao Shi,,,
Co-optimization of storage service scheduling and bidding strategies for community-shared energy storage: a distributionally robust bi-level model,https://www.sciencedirect.com/science/article/pii/S0306261926012614?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Yashuai Li,,,
A bi-level resilience-oriented planning framework for hydrogen-integrated multi-energy systems under extreme events,https://www.sciencedirect.com/science/article/pii/S0306261926013279?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Zixuan Liu,,,
Real-time implementation of a synergistic HEMS framework: Integrating meta-heuristic demand side management and CVR-based voltage control for enhanced residential energy efficiency,https://www.sciencedirect.com/science/article/pii/S0306261926013152?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Metin Tüysüz,,,
Hydrogen-driven co-optimization of production and energy systems for low-carbon steel industrial parks,https://www.sciencedirect.com/science/article/pii/S0306261926013437?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Shiqi Liu,,,
In-operando detection of lithium plating during fast charging via anode dynamic electrochemical impedance spectroscopy in lithium-ion batteries,https://www.sciencedirect.com/science/article/pii/S0306261926013085?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Xuebing Han,,,
Evaluating isothermal degradation error in lithium-ion batteries under WLTP drive cycles,https://www.sciencedirect.com/science/article/pii/S0306261926012791?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Theodore Azemtsop Manfo,,,
Lifecycle assessment and optimization of integrated blue-green hydrogen production and liquefaction with reforming-electrolysis coupling,https://www.sciencedirect.com/science/article/pii/S0306261926013255?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Jingxuan Xu,,,
Frequency-coordinated conditional diffusion model for extreme-value-aware wind power forecasting,https://www.sciencedirect.com/science/article/pii/S0306261926012535?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Zhuoxian Dai,,,
Health and nutrition returns to clean cooking fuel access across the rural-urban divide,https://www.sciencedirect.com/science/article/pii/S0301421526004854?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-08-15 00:00:00+00:00,,Camille Massié Gamard,,,
CD36-mediated lipid-accumulation in reactive microglia contributes to retinal degeneration via the NLRP3-IL-1β pathway in mice,https://www.nature.com/articles/s41467-026-76685-z,,Nature Communications,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76685-z,Chang He,,"Microglia are central regulators of retinal immune homeostasis, yet their pathogenic states in retinal degeneration remain less well understood. Here we identified a distinct subset of lipid-accumulated reactive microglia (aLARM), using scRNA sequencing and spatial transcriptomics in NaIO3-induced retinal degeneration mice, predominantly localized to the outer retina. aLARM were conserved across mouse models and patients and uniquely marked by high CD36 expression. Microglia-specific CD36 deletion abolished aLARM-mediated inflammation and degeneration, whereas subretinal transplantation of CD36+ aLARM exacerbated retinal structural destruction and functional impairment. Mechanistically, CD36+ aLARM activated NLRP3 inflammasome and produced IL-1β, engaging IL-1R1 on microglia/macrophages and pericytes/SMCs to amplify a feed-forward inflammatory circuit. Therapeutic CD36 blockade with the neutralizing antibody FA6-152 reduced aLARM formation and protected against neurodegeneration. Together, our findings highlight CD36+ aLARM as a targetable pathogenic microglial population linking neuroinflammation to retinal degeneration, providing a potential foundation for microglia-based precision therapies.",nature_html
Public funding for bus system decarbonization accounting for technological uncertainty and depot infrastructure upgrades,https://www.sciencedirect.com/science/article/pii/S0301421526004751?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-08-15 00:00:00+00:00,,Giorgio Matteucci,,,
Techno-economic optimization of reversible solid oxide cell systems under price fluctuations considering multi-period dynamics and physical and chemical degradation,https://www.sciencedirect.com/science/article/pii/S0306261926012808?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-15 00:00:00+00:00,,Debangsu Bhattacharyya,,,
Quantifying the role of nitrogen in achieving global Sustainable Development Goals,https://www.nature.com/articles/s41467-026-76777-w,,Nature Communications,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76777-w,Baojing Gu,,"Achieving the 2030 Sustainable Development Goals (SDGs) requires balancing well-being with environmental protection, yet the role of nitrogen across these goals remains poorly understood. Here, we show how dietary nitrogen intake and nitrogen release to air and water are associated with SDG progress across 166 countries from 2000 to 2022. Higher per-capita nitrogen intake is positively associated with social and economic SDGs, whereas nitrogen release is negatively associated with environmental goals. Economic development is linked to improved SDG performance but also to greater dietary nitrogen demand and nitrogen losses, while warming is associated with pressure on food systems and nitrogen management. Nitrogen-related factors account for 38% of the variation in SDG scores, compared with 34% for climatic conditions and 28% for socio-economic factors. These findings identify nitrogen management as a cross-cutting component of sustainable development and support strategies that align food security, pollution control and climate adaptation across development contexts.",nature_html
Atmospheric turbulence sensing with structured terahertz beams containing orbital angular momentum,https://www.nature.com/articles/s41467-026-76743-6,,Nature Communications,2026-08-15 00:00:00+00:00,10.1038/s41467-026-76743-6,Yasaman Ghasempour,,"Clear-air turbulence poses a persistent hazard to aviation, yet it evades conventional weather radar and remains difficult to detect. Existing optical sensing methods falter under severe turbulence and are extremely vulnerable to misalignment between airborne nodes. Here we introduce an atmospheric sensing scheme built on structured terahertz (THz) beams carrying orbital angular momentum (OAM). We derive and experimentally validate an analytical model that maps turbulence-induced OAM modal crosstalk to the refractive index structure constant of the atmosphere. Our simulations and experiments demonstrate that this THz-OAM approach remains robust under severe turbulence where optical systems saturate, and offers orders-of-magnitude greater misalignment resilience. Furthermore, this scheme also enables localization of the dominant turbulent clusters through understanding the interaction of diverging THz-OAM beams with the turbulent medium in the reciprocal propagation paths and simultaneously monitoring water vapor to identify turbulence precursors. This work establishes structured THz-OAM beams as a robust framework for remote atmospheric turbulence inference.",nature_html
